accession,ler_number,docket,report_date,chars,title
ML25097A252,498-2025-001-00,05000498,2025-04-07,17398,"LER 2025-001-00 for South Texas Project, Unit 1, Two Inoperable Emergency Core Cooling System Trains Resulting in Potential Loss of Safety Function"
ML25338A159,370-2025-001-01,05000370,2025-12-04,21946,"LER 2025-001-01 for McGuire Nuclear Station, Unit 2, Condition Prohibited by Technical Specifications Due to Emergency Diesel Ventilation Damper Malfunction"
ML25106A148,416-2025-001-00,05000416,2025-04-16,8888,"LER 2025-001-00 for Grand Gulf Nuclear Station, Unit 1, Manual Scram due to Degraded Condenser Vacuum"
ML25097A291,395-2025-001-00,05000395,2025-04-07,10564,"LER 2025-001-00 for Virgil C. Summer Nuclear Station, Unit 1 (VCSNS), Manual Reactor Trip due to Unisolable EHC Leak"
ML25149A021,296-2025-001-01,05000296,2025-05-29,20309,"LER 2025-001-01 for Browns Ferry Nuclear Plant, Unit 3, Automatic Reactor Scram Following Main Generator Trip"
ML25092A162,412-2025-001-00,05000412,2025-04-01,13395,"LER 2025-001-00 for Beaver Valley Power Station, Unit 2, Automatic Reactor Trip and Automatic Actuation of the Auxiliary Feedwater System due to Loose Feedback Linkage on Feedwater Regulating Valve"
ML25090A171,413-2025-001-00,05000413,2025-03-31,18700,"LER 2025-001-00 for Catawba Nuclear Station, Unit 1, Plant Shutdown Required by Technical Specifications Due to Unidentified Reactor Coolant System Leakage"
ML25099A035,335-2025-001-01,05000335,2025-04-08,8498,"LER 2025-001-01 for St. Lucie Unit 1, Safety Injection Tank Above Technical Specifications Limit"
ML25086A216,254-2025-002-00,05000254,2025-03-27,16113,"LER 2025-002-00 for Quad Cities Power Station Unit 1, Control Room Emergency Ventilation Air Conditioning System Inoperable due to Logic Issue"
ML25077A032,390-2025-002-00,05000390,2025-03-18,19915,"LER 2025-002-00 for Watts Bar Nuclear Plant, Unit 1, Automatic Reactor Trip Due to Main Turbine Trip"
ML25066A110,254-2025-001-00,05000254,2025-03-07,17526,"LER 2025-001-00 for Quad Cities Nuclear Power Station, Unit 1 and 2, Technical Specification 3.6.4.2 Action Not Performed Due to Tagout Boundary Placement Error"
ML25071A010,328-2025-001-00,05000328,2025-03-11,17873,"LER 2025-001-00 for Sequoyah Nuclear Plant, Unit 2, Reactor Trip Breakers Opened due to Group 2 of Control Rod Bank D Failing to Withdraw"
ML25062A082,390-2025-001-00,05000390,2025-03-03,20183,"LER 2025-001-00 for Watts Bar Nuclear Plant, Units 1 and 2, Loss of the Control Room Emerency Air Temperature Control System Due to Chiller Oil Migration"
ML25037A301,313-2024-002-00,05000313,2025-02-06,18152,"LER 2024-002-00 for Arkansas Nuclear One, Unit 1, ANO Unit 1 Inoperable Containment Isolation Boundary"
ML25031A065,250-2024-004-00,05000250,2025-01-31,7957,"LER 2024-004-00 for Turkey Point Nuclear Plant, Unit 3, Unplanned Reactor scram"
ML25163A305,498-2024-007-01,05000498,2025-06-12,21830,"LER 2024-007-01 for South Texas Project, Unit 1, Supplement to Condition Prohibited by Technical Specifications"
ML25023A193,440-2024-005-00,05000440,2025-01-23,13284,"LER 2024-005-00 for Perry Nuclear Power Plant, Division 3 Diesel Generator Inoperable due to Failure of the Right Bank Air Start Motor"
ML25021A090,254-2024-001-00,05000254,2025-01-21,18197,"LER 2024-001-00 for Quad Cities Nuclear Power Station, Unit 1, Technical Specification 3.5.2 Action Not Performed Due to Inadequate Procedure Adherence"
ML25021A128,391-2025-001-00,05000391,2025-01-21,19583,"LER 2025-001-00 for Watts Bar Nuclear Plant, Unit 2, Loss of The Control Room Emergency Air Temperature Control System Due to Chiller Valve Malfunction"
ML25296A468,249-2024-002-02,05000249,2025-10-23,14389,"LER 2024-002-02 for Dresden Nuclear Power Station, Unit 3, Low Pressure Coolant Injection Pump Suction Relief Valve Inoperable as a Primary Containment Isolation Valve Resulted in a Condition Prohibited by Technical Specifications"
ML25013A036,443-2024-002-00,05000443,2025-01-10,7545,"LER 2024-002-00 for Seabrook Station, Manual Reactor Trip Due to 'B' MFP Trip"
ML25065A080,250-2024-003-01,05000250,2025-03-06,8557,"LER 2024-003-01 for Turkey Point, Unit 3, Condition Prohibited by Technical Specifications"
ML25044A064,446-2024-002-01,05000446,2025-02-13,16708,"LER 2024-002-01 for Comanche Peak Nuclear Power Plant Unit 2, Turbine Driven Auxiliary Feedwater Pump Unavailable Following Transition from Mode 4 to Mode 3"
ML25013A038,335-2024-02-00,05000335,2025-01-10,7681,"LER 2024-02-00 for St. Lucie, Unit 1, Manual Reactor Trip Due To 3 CEA's Dropping Into Reactor Bottom"
ML25010A346,259-2024-004-00,05000259,2025-01-10,23101,"LER 2024-004-00 for Browns Ferry Nuclear Plant, Unit 1, Main Steam Relief Valves Lift Settings Outside of Technical Specifications Required Setpoints"
ML25077A289,338-2024-003-01,05000338,2025-03-18,10093,"LER 2024-003-01 for North Anna Power Station, Loss of Offsite Power Train A Relay Failure during Surveillance Testing"
ML25009A011,416-2024-005-00,05000416,2025-01-09,9770,"LER 2024-005-00 for Grand Gulf Nuclear Station, Unit 1, Loss of Seal Steam Controller Power Resulted in Manual Reactor Shutdown"
ML24354A337,269-2024-001-00,05000269,2024-12-19,15585,"LER 2024-001-00 for Oconee Nuclear Station, Unit 1, Standby Shutdown Facility (SSF) Pressurizer Level Switch Configuration Caused by Legacy Procedure Deficiency Resulted in Condition Prohibited by Technical Specifications"
ML24366A126,298-2024-007-00,05000298,2024-12-31,13487,"LER 2024-007-00 for Cooper Nuclear Station, Inoperable Pressure Switch during Mode Change Results in Operation or Condition Prohibited by Technical Specifications"
ML25314A119,306-2024-002-01,05000306,2025-11-10,12957,"LER 2024-002-01 for Prairie Island Nuclear Generating Plant, Unit 2, Reactor Trip and auto-start actuation of Auxiliary Feedwater due to High Negative Neutron Flux Rate Trip"
ML25055A256,440-2024-004-00,05000440,2025-02-24,16225,"LER 2024-004-00 for Perry Nuclear Power Plant, Division 3 Diesel Generator Inoperable due to Low Output Voltage Resulting in Loss of Safety Function"
ML24354A312,270-2024-001-00,05000270,2024-12-19,18122,"LER 2024-001-00 for Oconee Nuclear Station, Unit 2, Common Cause Inoperability of Both Trains of Control Room Ventilation System Outside Air Booster Fans due to Supply Breaker Wiring Deficiency Resulted in a Condition that have Prevented Fulfillment....."
ML24354A318,298-2024-006-00,05000298,2024-12-19,17877,"LER 2024-006-00 for Cooper Nuclear Station, Human Performance Errors Cause a Condition Prohibited by Technical Specifications and Common Cause Inoperability of Independent Reactor Protection System Channels"
ML24358A097,498-2024-006-00,05000498,2024-12-23,29566,"LER 2024-006-00 for South Texas Project, Unit 1, Condition Prohibited by Technical Specifications and Potential Loss of Safety Function Due to Inoperable Pressurizer Power Operated Relief Valve"
ML24344A197,318-2024-003-00,05000318,2024-12-09,13405,"LER 2024-003-00 for Calvert Cliffs Nuclear Power Plant, Unit No. 2, Automatic Reactor Trip Due to Main Turbine Loss of Load"
ML24331A033,423-2024-002-00,05000423,2024-11-26,15166,"LER 2024-002-00 for Millstone, Unit 3, Door Latch Failure Resulted In Loss Of Safety Function For Secondary Containment Boundary"
ML24344A153,25-2024-004-00,05200025,2024-12-09,9569,"LER 2024-004-00 for Vogtle Electric Generating Plant (VEGP), Unit 3, Condition Prohibited by Technical Specification Due to Main Steam Safety Valve Lift Pressure Setpoint Drift"
ML25043A286,338-2024-002-01,05000338,2025-02-12,13829,"LER 2024-002-01 for North Anna Power Station, Unit 1, IH EDG Failure to Achieve Rated Speed / Frequency During Surveillance Testing"
ML24338A212,368-2024-001-00,05000368,2024-12-03,13570,"LER 2024-001-00 for Arkansas Nuclear One, Unit 2, Surface Flaw in Primary Coolant System"
ML25114A051,296-2024-004-01,05000296,2025-04-24,26812,"LER 2024-004-01 for Browns Ferry Nuclear Plant, Unit 3, Reactor Coolant System Pressure Boundary Leakage Identified from Recirculation System Small Bore Piping"
ML25079A251,336-2024-002-01,05000336,2025-03-20,18957,"LER 2024-002-01 For Millstone, Unit 2, Two Main Steam Safety Valves Failed To Lift Within The Acceptance Criteria Resulting In A Condition Prohibited By Technical Specifications"
ML24324A187,321-2024-004-00,05000321,2024-11-19,8666,"LER 2024-004-00 for Edwin I. Hatch Nuclear Plant, Unit 1 Manual Reactor Trip During Hurricane Helene Due to Degrading Condenser Vacuum"
ML24330A060,414-024-002-00,05000414,2024-11-25,17339,"LER 024-002-00 for Catawba Nuclear Station, Unit 2, Manual Reactor Trip and Auxiliary Feedwater Actuation Due to Water Intrusion"
ML24326A363,416-2024-004-00,05000416,2024-11-22,10055,"LER 2024-004-00 for Grand Gulf Nuclear Station, Unit 1, High Pressure Core Spray Over Frequency Relay Trip"
ML24327A098,333-2024-003-00,05000333,2024-11-22,13461,"LER 2024-003-00 for James A. FitzPatrick Nuclear Power Plant, Turbine Trip and Scram due to Automatic Voltage Regulator Protective Device during a Grid Transient"
ML25009A027,410-2024-002-01,05000410,2025-01-10,16545,"LER 2024-002-01 for Nine Mile Point Nuclear Station, Unit 2, Supplement to NMP2 Licensee Event Report 2024-002-00, Automatic Reactor Scram on Turbine Trip due to Failed Breaker"
ML24323A169,25-2024-003-00,05200025,2024-11-18,9815,"LER 2024-003-00 for Vogtle Electric Generating Plant, Unit 3, Automatic Reactor Protection System and Manual Safeguards Actuation Due to a Failed Open Flow Control Valve"
ML24323A154,395-2024-003-00,05000395,2024-11-18,8531,"LER 2024-003-00 for Virgil C. Summer Nuclear Station, Unit 1, Common Cause Inoperability of Engineered Safety Features"
ML24318C508,498-2024-005-00,05000498,2024-11-13,19035,"LER 2024-005-00 for South Texas, Unit 1, Condition Prohibited by Technical Specifications"
ML24303A034,259-2024-003-00,05000259,2024-10-29,21186,"LER 2024-003-00 for Browns Ferry Nuclear Plant, Units 1 and 2, Valid Specified System Actuation Caused the Automatic Start of Emergency Diesel Generators"
ML24296B226,499-2024-003-00,05000499,2024-10-22,27462,"LER 2024-003-00 for South Texas Project, Unit 2, Containment Isolation Valve Inoperable Resulting in Condition Prohibited by Technical Specification and Prevention of Fulfillment of Safety Function"
ML25099A196,327-2024-001-01,05000327,2025-04-09,18273,"LER 2024-001-01 for Sequoyah Nuclear Plant, Unit 1, Reactor Trip due to a Turbine Trip"
ML24346A412,482-2024-002-01,05000482,2024-12-11,16100,"LER 2024-002-01 for Wolf Creek Generating Station, Technical Specification required Shutdown Due to Inoperable Auxiliary Feedwater Discharge Valve"
ML24288A015,423-2024-001-00,05000423,2024-10-14,18524,"LER 2024-001-00 for Millstone, Unit 3, Loss of Safety Function And Condition Prohibited By Technical Specifications For Loss Of Secondary Containment Boundary"
ML25028A244,395-2024-002-01,05000395,2025-01-28,11667,"LER 2024-002-01 for Virgil C. Summer Nuclear Station (VCSNS), Unit 1, Loss of Control Room Emergency Filtration System"
ML25132A132,499-2024-002-01,05000499,2025-05-12,21576,"LER 2024-002-01 for South Texas Project, Unit 2, Two Control Room Envelope HVAC Trains Inoperable Resulting in a Condition That Could Have Prevented Fulfillment of a Safety Function"
ML24275A213,483-2024-002-00,05000483,2024-10-01,22988,"LER 2024-002-00 for Callaway Plant, Unit 1, Concurrent Inoperability of Control Room Air Conditioning System Train and Opposite Train Emergency Diesel Generator Results in Condition Prohibited by Technical Specifications Limiting ....."
ML25182A055,328-2024-001-01,05000328,2025-07-01,18709,"LER 2024-001-01 for Sequoyah Nuclear Plant, Unit 2, Reactor Trip due to an Electrical Trouble Turbine Trip"
ML24269A205,335-2024-001-00,05000335,2024-09-25,7938,"LER 2024-001-00 for St. Lucie, Unit 1, Unplanned Reactor Scram"
ML25254A061,498-2024-004-01,05000498,2025-09-11,21567,"LER 2024-004-01 for South Texas Project, Units 1 and 2, Loss of Offsite Power Resulting in Unit 1 Automatic Reactor Trip and Actuation of Emergency Diesel Generators and Auxiliary Feedwater Pumps"
ML25086A101,316-2024-004-01,05000316,2025-03-27,16019,"LER 2024-004-01 for Donald C. Cook Nuclear Plant, Unit 2, 2AB Emergency Diesel Generator Inoperable for Longer Than Allowed by Technical Specifications"
ML25024A089,318-2024-002-01,05000318,2025-01-24,16059,"LER 2024-002-01 for Calvert Cliffs Nuclear Power Plant, Unit No. 2, Automatic Reactor Trip Due to Main Turbine Loss of Load"
ML24249A109,277-2024-003-00,05000277,2024-09-05,12676,"LER 2024-003-00 for Peach Bottom Atomic Power Station (PBAPS), Unit 2, Automatic Reactor Scram Following Main Turbine Trip due to Degraded Condenser Vacuum"
ML24250A052,25-2024-002-00,05200025,2024-09-05,10096,"LER 2024-002-00 for Vogtle Electric Generating Plant (VEGP), Unit 3, Manual Reactor Protection System and Automatic Safeguards Actuation Due to an Unexpected Change in Position of a Main Feedwater Pump Minimum Flow Control Valve"
ML24250A179,317-2024-003-00,05000317,2024-09-06,15770,"LER 2024-003-00 for Calvert Cliffs Nuclear Power Plant, Units 1 and 2, 1A Diesel Generator Inoperable Due to Potential Transformer Failure"
ML24249A254,333-2024-002-00,05000333,2024-09-04,11935,"LER 2024-002-00 for James A. FitzPatrick Nuclear Power Plant, Reactor Protection System Electric Power Monitoring System Trip Caused Primary Containment Isolation"
ML24249A175,390-2024-002-00,05000390,2024-09-05,18843,"LER 2024-002-00 for Watts Bar Nuclear Plant, Unit 1, Automatic Reactor Trip Due to Main Generator Protection Relay Actuation"
ML24249A074,454-2024-001-00,05000454,2024-09-05,13788,"LER 2024-001-00 for Byron Station, Unit 1, Both Trains of Control Room Ventilation Temperature Control System Inoperable"
ML25150A333,263-2024-002-01,05000263,2025-05-30,19790,"LER 2024-002-01 for Monticello Nuclear Generating Plant, Low Pressure Coolant Injection Inoperable Due To Motor Valve Failure"
ML24235A156,316-2024-003-00,05000316,2024-08-22,13345,"LER 2024-003-00 for Donald C. Cook Nuclear Plant, Unit 2, Plant Shutdown Required by Technical Specifications Due to Reactor Coolant System Identified Leakage"
ML24222A467,425-2024-001-00,05000425,2024-08-09,9503,"LER 2024-001-00 for Vogtle Electric Generating Plant (VEGP), Unit 2, Manual Actuation of the Reactor Protection System due to a Rod Control fuse opening causing a misaligned Shutdown Rod"
ML25226A260,382-2024-004-01,05000382,2025-08-14,13087,"LER 2024-004-01 for Waterford Steam Electric Station, Unit 3, Automatic Reactor Trip due to Lightning Strike"
ML24218A260,26-2024-001-00,05200026,2024-08-06,9483,"LER 2024-001-00 for Vogtle Electric Generating Plant (VEGP), Unit 4, Manual Reactor Protection System Actuation Due to Procedure Not Optimally Sequenced to Reset the Rapid Power Reduction Signal"
ML24218A080,389-2024-03-00,05000389,2024-08-05,7728,"LER 2024-03-00 for St. Lucie, Unit 2, Unplanned Reactor Scram"
ML24215A408,287-2024-001-00,05000287,2024-08-02,23843,"LER 2024-001-00 for Oconee Nuclear Station, Unit 3, Procedure Deficiency Results in Inadvertent Automatic Feedwater Isolation and Automatic Emergency Feedwater Actuation"
ML24212A077,280-2024-001-00,05000280,2024-07-30,12968,"LER 2024-001-00 for Surry Power Station, Troubleshooting Initiated Unknown Turbine Trip Feature in Control System"
ML24204A192,400-2024-001-00,05000400,2024-07-22,12686,"LER 2024-001-00 for Shearon Harris Nuclear Power Plant, Unit 1, Automatic Reactor Trip Due to Main Generator Lock-Out"
ML24268A312,338-2024-001-01,05000338,2024-09-24,11191,LER 2024-001-01 for North Anna Power Station Unit 1 Automatic Reactor Trip due to PRNI High Negative Rate
ML24304A856,265-2024-002-01,05000265,2024-10-30,15063,"LER 2024-002-01 for Quad Cities Nuclear Power Station, Unit 2, Turbine Trip and Automatic Scram due to Digital EHC Power Supply Intermittent Failure"
ML24198A025,440-2024-003-00,05000440,2024-07-15,18034,"LER 2024-003-00 for Perry Nuclear Power Plant, Unit 1, Technical Specification Required Shutdown Due to Increase in RCS Unidentified Leakage"
ML24199A242,334-2024-004-00,05000334,2024-07-17,11801,"LER 2024-004-00 for Beaver Valley Power Station, Unit 1, Reactor Trip Due to Bypass Feedwater Regulating Valve Failure to Control"
ML24256A172,316-2024-002-01,05000316,2024-09-12,13543,"LER 2024-002-01 for Donald C. Cook Nuclear Plant, Unit 2, Manual Reactor Trip Following Rapid Downpower for Steam Leak"
ML24193A307,391-2024-003-00,05000391,2024-07-11,18684,"LER 2024-003-00 for Watts Bar Nuclear Plant, Unit 2, Inoperability Of Both Trains Of Unit 2 Low Head Safety Injection"
ML24242A163,499-2024-001-01,05000499,2024-08-29,37361,"LER 2024-001-01 for South Texas Project, Unit 2, Supplement to Automatic Reactor Trip and Actuation of Two of Three Emergency Diesel Generators"
ML24192A173,382-2024-003-00,05000382,2024-07-10,13008,"LER 2024-003-00 for Waterford Steam Electric Station, Unit 3, Automatic EFAS Actuation During Surveillance Test"
ML24185A033,334-2024-003-00,05000334,2024-07-02,13222,"LER 2024-003-00 for Beaver Valley Power Station, Unit 1, Unanalyzed Containment Bypass Condition Due to Degraded River Water Piping"
ML24296A068,482-2024-001-01,05000482,2024-10-22,15471,"LER 2024-001-01 for Wolf Creek Nuclear Generating Station, Mode 3 Entry with One Auxiliary Feedwater Pump Train Inoperable due to Missed Post-Maintenance Testing"
ML24185A269,321-2024-003-00,05000321,2024-07-03,9498,"LER 2024-003-00 for Edwin I. Hatch Nuclear Plant, Unit 1, Reactor Core Isolation Cooling (RCIC) System Inoperable Due to Mispositioned Link"
ML24190A129,296-2024-003-00,05000296,2024-07-08,22868,"LER 2024-003-00 for Browns Ferry Nuclear Plant, Unit 3, Main Steam Relief Valves Lift Settings Outside of Technical Specifications Required Setpoints"
ML24183A214,313-2024-001-00,05000313,2024-07-01,14371,"LER 2024-001-00 for Arkansas Nuclear One, Unit 1, Source Range Nuclear Instrument Failure Resulting in Condition Prohibited by Technical Specifications"
ML24183A174,498-2024-003-00,05000498,2024-07-01,16838,"LER 2024-003-00 for South Texas Project, Unit 1, Condition Prohibited by Technical Specifications and Potential Loss of Safety Function Due to Inoperable Low Head Safety Injection Pump"
ML24185A160,456-2024-001-00,05000456,2024-07-03,11430,"LER 2024-001-00 for Braidwood Station, Unit 1, Trip on Low Steam Generator Level Ddue to Failure to Verify Isolation Valves Were Open"
ML24253A265,354-2024-001-01,05000354,2024-09-05,10548,"LER 2024-001-01 for Hope Creek Generating Station, Invalid Primary Containment Integrated Leak Rate As-Found Test (ILRT) Supplement"
ML24296B194,282-2024-001-01,05000282,2024-10-22,17470,"LER 2024-001-01 for Prairie Island Nuclear Generating Plant, Units 1 and 2, Auxiliary Building Special Ventilation System Inoperable during Movement of Irradiated Fuel Assemblies"
ML25296A231,237-2024-001-01,05000237,2025-10-23,22931,"LER 2024-001-01 for Dresden Nuclear Power Station, Unit 2, Containment Cooling Service Water Valve Failure Resulted in a Condition Prohibited by Technical Specifications and Loss of Safety Function"
ML24177A322,530-2024-002-00,05000530,2024-06-25,12037,"LER 2024-002-00 for Palo Verde, Unit 3, Invalid Specified System Actuation Of Train B Emergency Diesel Generator"
ML24172A162,440-2024-001-00,05000440,2024-06-20,28373,"LER 2024-001-00 for Perry Nuclear Power Plant, Operation of the Residual Heat Removal Loops B and C ""Alternate Keep Fill"" Configuration Was Prohibited by Technical Specifications and Resulted in an Unanalyzed Condition"
ML24176A102,259-2024-002-00,05000259,2024-06-24,24319,"LER 2024-002-00 for Browns Ferry Nuclear Plant, Unit 1, Reactor Scram due to Generator Step-Up Transformer Failure"
ML24234A140,333-2024-001-01,05000333,2024-08-21,18045,"LER 2024-001-01 for James A. FitzPatrick Nuclear Power Plant, EDG Lube Oil Check Valve Bonnet Cap Leak due to Failed Gasket"
ML24170A772,352-2024-003-00,05000352,2024-06-18,13102,"LER 2024-003-00 for Limerick Generating Station, Unit 1, Core Operating Limits Report Thermal Limit Exceeded for Unit 1 Fuel Bundle GGK123"
ML24235A178,373-2024-004-01,05000373,2024-08-22,35432,"LER 2024-004-01, Supplement to Emergency Diesel Generator Auto-Start and Load due to Loss of System Auxiliary Transformer"
ML24130A090,272-2024-001-00,05000272,2024-05-09,15513,"LER 2024-001-00 for Salem Generating Station, Unit 1, Pressure Boundary Leakage through a Reactor Coolant Pump Thermal Barrier Heat Exchanger"
ML24233A245,339-2024-001-01,05000339,2024-08-20,13050,LER 2024-001-01 for North Anna Power Station Loss of Generator Field for 2J EOG during 2-PT-82.28
ML24169A161,348-2024-001-00,05000348,2024-06-17,9237,"LER 2024-001-00 for Joseph M. Farley Nuclear Plant, Unit 1, Pressurizer Safety Valve Lift Pressure Outside of Technical Specifications Limits due to Setpoint Drift"
ML24162A088,336-2024-001-00,05000336,2024-06-10,15475,"LER 2024-001-00 for Millstone Power Station, Unit 2, Control Room Air Conditioning Unit Inoperable Due To Refrigerant Overcharge Resulting In a Condition Prohibited by Technical Specifications"
ML24163A306,334-2024-002-00,05000334,2024-06-11,13841,"LER 2024-002-00 for Beaver Valley Power Station, Unit 1, Automatic Reactor Trip Due to Low Reactor Coolant Flow Caused by Transformer Overexcitation Protection Relay Actuation"
ML24234A332,530-2024-001-01,05000530,2024-08-21,14404,"LER 2024-001-01 for Palo Verde Nuclear Generating Station (PVNGS), Unit 3, Inoperable Boron Dilution Alarm System(BDAS) with Technical Specification Violation"
ML24347A138,530-2024-003-00,05000530,2024-12-12,12814,"LER 2024-003-00 for Palo Verde Nuclear Generating Station, Unit 3, Violation of Technical Specifications 3.9.2 and 3.3.12"
ML24162A325,352-2024-002-00,05000352,2024-06-10,11796,"LER 2024-002-00 for Limerick Generating Station, Unit 1, Invalid Actuation Due to a Trip of 1B Reactor Protection System Circuit Breaker"
ML24162A104,334-2024-001-00,05000334,2024-06-06,13141,"LER 2024-001-00 for Beaver Valley Power Station, Unit 1, Offsite AC Power Source Inoperable due to Breaker Failure Resulting in Condition Prohibited by Technical Specification"
ML24162A324,352-2024-001-00,05000352,2024-06-10,12276,"LER 2024-001-00 for Limerick Generating Station, Unit 1, Leakage for the Unit 1 `B' Outboard Main Steam Isolation Valve Exceeded Technical Specification Limit"
ML24213A022,373-2024-003-01,05000373,2024-07-31,15180,"LER 2024-003-01 for LaSalle County Station, Unit 1, Supplement to Technical Specification (TS) Limiting Condition for Operation (LCO) 3.6.1.3 Completion Time Exceeded"
ML24260A227,387-2024-002-00,05000387,2024-09-16,12781,"LER 2024-002-00 for Susquehanna Steam Electric Station, B Diesel Generator Inoperable due to Failed Excitation System Linear Reactor"
ML24277A774,445-2024-002-01,05000445,2024-10-03,17830,"LER 2024-002-01 for Comanche Peak Nuclear Power Plant, Unit 1, Condition Prohibited by Technical Specifications due to Inoperable Remote Shutdown System Functions"
ML24234A326,387-2024-001-01,05000387,2024-08-21,11378,"LER 2024-001-01 for Susquehanna Steam Electric Station, Unit 1, Main Steam Isolation Valve Leakage Due to Valve Body Seat Wear"
ML24131A015,265-2024-001-00,05000265,2024-05-10,13810,"LER 2024-001-00 for Quad Cities Nuclear Power Station, Unit 2, Automatic Actuation of Reactor Protection System During Scram Discharge Volume Leak Rate Testing"
ML24149A159,416-2024-002-00,05000416,2024-05-28,8797,"LER 2024-002-00 for Grand Gulf Nuclear Station, Unit 1, Automatic Actuation of Reactor Protection System"
ML24138A030,373-2024-002-00,05000373,2024-05-17,14095,"LER 2024-002-00 for LaSalle County Station Unit 1, Reactor Protection System Half Scram due to Motor Generator Set Electric Power Monitoring Assembly Output Breaker Trip"
ML24144A277,529-2024-001-00,05000529,2024-05-23,14157,"LER 2024-001-00 for Palo Verde Nuclear Generating Station Unit 2, Valid Specified System Actuations of Unit 2 Train B Emergency Diesel Generator and Train B Auxiliary Feedwater"
ML24136A211,341-2024-001-0,05000341,2024-05-15,13752,"LER 2024-001-00 for Fermi 2 Power Plant, Automatic RPS SCRAM on High RPV Pressure While Attempting to Lower Generator Output During RF-22"
ML24141A120,316-2024-001-00,05000316,2024-05-20,13993,"LER 2024-001-00 for Donald C. Cook Nuclear Plant, Unit 2, Reactor Trip due to Main Turbine Trip from a High-High Thrust Bearing Position Trip"
ML24137A335,382-2024-002-00,05000382,2024-05-16,15225,"LER 2024-002-00 for Waterford Steam Electric Station, Unit 3, Automatic Reactor Trip Due to Transformer Failure"
ML24330A077,260-2024-002-01,05000260,2024-11-25,30677,"LER 2024-002-01 for Browns Ferry Nuclear Plant, Unit 2, High Pressure Coolant Injection Inoperable due to Rupture Disc Failure and Resulting System Isolation"
ML24141A032,323-2024-001-00,05000323,2024-05-17,14626,"LER 2024-001-00 for Diablo Canyon Power Plant, Unit 2, LCO 3.0.3 Completion Time Limits"
ML24137A008,341-2024-002-00,05000341,2024-05-16,13805,"LER 2024-002-00 for Fermi 2 Power Plant, Primary Containment Isolation Valve Declared Inoperable for a Period Prohibited by Technical Specifications"
ML24312A174,382-2024-001-01,05000382,2024-11-07,12619,"LER 2024-001-01 for Waterford Steam Electric Station, Unit 3, Manual Reactor Trip Due to Engineered Safety Features Actuation System Relay Failure"
ML24134A267,298-2024-005-00,05000298,2024-05-13,16016,"LER 2024-005-00 for Cooper Nuclear Station, High Pressure Coolant Injection Pressure Switch Installation Causes Condition that Could Have Prevented Fulfillment of a Safety Function and a Condition Prohibited b Technical....."
ML24274A331,446-2024-001-01,05000446,2024-09-30,23673,"LER 2024-001-01 for Comanche Peak Nuclear Power Plant, Unit Two, Recurring Reactor Scrams associated with Main Feedwater System Modifications"
ML24131A023,298-2024-004-00,05000298,2024-05-09,15960,"LER 2024-004-00 for Cooper Nuclear Station, Main Turbine Stop Valve Position Switches Do Not Meet Channel Independence Criteria Results In Two Channels Being Declared Inoperable And A Condition Prohibited by Technical Specifications"
ML24130A268,321-2024-002-00,05000321,2024-05-09,9943,"LER 2024-002-00 for Edwin I. Hatch Nuclear Plant, Unit 1 Manual Reactor Trip Due to Loss of Feedwater"
ML24179A341,498-2024-002-01,05000498,2024-06-27,20959,"LER 2024-002-01 for South Texas Project, Unit 1, Two Essential Chilled Water Trains Inoperable Resulting in a Condition That Could Have Prevented Fulfillment of a Safety Function"
ML24127A139,391-2024-002-00,05000391,2024-05-06,19798,LER 2024-002-00 for Watts Bar Unit 2 re Automatic Reactor Trip Due to Steam Generator # 3 Level LO-LO
ML24127A155,445-2024-001-00,05000445,2024-05-06,26841,"LER 2024-001-00 for Comanche Peak Nuclear Power Plant Units 1 & 2 re Potential Loss of Safety Function Due to Inoperability of Both Trains of Uninterruptible Power Supply Heating, Ventilation & Air Conditioning"
ML24117A127,373-2024-001-00,05000373,2024-04-26,13572,"LER 2024-001-00 for LaSalle County Station, Unit 1, Core Operating Limits Report Thermal Limits Exceeded"
ML24110A087,443-2024-001-00,05000443,2024-04-19,11180,"LER 2024-001-00 for Seabrook Station, Unit 1, Condition Prohibited by Technical Specifications - Transformer Bushing Failure - Offsite AC Sources"
ML24155A195,306-2024-001-01,05000306,2024-05-31,13358,"LER 2024-001-01 for Prairie Island Nuclear Generating Plant, Unit 2, Reactor Trip and Auto-Start Actuation of Auxiliary Feedwater due to Loss of Suction to the 22 Main Feedwater Pump"
ML24136A202,410-2024-001-00,05000410,2024-05-01,19303,"LER 2024-001-00 for Nine Mile Point Nuclear Station, Unit 2, Automatic Reactor Scram on Turbine Trip due to Low Condenser Vacuum"
ML24116A117,263-2024-001-00,05000263,2024-04-25,16249,"LER 2024-001-00 for Monticello Nuclear Generating Plant, Reactor Scram, Containment Isolation, and Cooldown Rate outside of limits following technician adjustment of wrong component"
ML24121A002,317-2024-002-00,05000317,2024-04-29,13205,"LER 2024-002-00 for Calvert Cliffs Nuclear Power Plant, Units 1 and 2, Emergency Diesel Generators Automatic Start due to Loss of a 13kV Bus"
ML24185A259,321-2024-002-01,05000321,2024-07-03,17518,"LER 2024-002-01 for Edwin I. Hatch Nuclear Plant, Unit 1 & 2, Incorrectly Installed Temporary Modification Results in Multiple Conditions Prohibited by Plant Technical Specifications"
